AÑO,CONCURSO,ÁREA,CARRERA,PLANTEL,OFERTA,ASPIRANTES,PRESENTARON EXAMEN,ACIERTOS MÍNIMOS,SELECCIONADOS
2018,Febrero,4,(405)  DISEÑO Y COMUNICACION VISUAL,FACULTAD DE ARTES Y DISEÑO,40,1516,1434,102,40
2018,Febrero,4,(405)  DISEÑO Y COMUNICACION VISUAL,FES CUAUTITLAN,16,654,628,95,17
2018,Febrero,4,(406)  DISEÑO GRAFICO,FES ACATLAN,25,1439,1371,91,27
2018,Febrero,4,(407)  EDUCACION MUSICAL,FACULTAD DE MUSICA,21,79,67,56,21
2018,Febrero,4,(408)  ENSEÑANZA DE INGLES,FES ACATLAN,66,332,299,67,73
2018,Febrero,4,(409)  ESTUDIOS LATINOAMERICANOS,FACULTAD DE FILOSOFIA Y LETRAS,16,154,145,89,16
2018,Febrero,4,(410)  ETNOMUSICOLOGIA,FACULTAD DE MUSICA,10,27,24,59,13
2018,Febrero,4,(411)  FILOSOFIA,FES ACATLAN,20,128,121,78,21
2018,Febrero,4,(411)  FILOSOFIA,FACULTAD DE FILOSOFIA Y LETRAS,26,396,354,99,27
2018,Febrero,4,(412)  HISTORIA,FACULTAD DE FILOSOFIA Y LETRAS,20,467,441,95,22
2018,Febrero,4,(412)  HISTORIA,FES ACATLAN,22,303,290,88,23
2018,Febrero,4,(413)  INSTRUMENTISTA,FACULTAD DE MUSICA,60,137,119,58,61
2018,Febrero,4,(414)  LENGUA Y LITERATURAS HISPANICAS,FACULTAD DE FILOSOFIA Y LETRAS,26,349,324,101,26
2018,Febrero,4,(414)  LENGUA Y LITERATURAS HISPANICAS,FES ACATLAN,10,141,132,97,10
2018,Febrero,4,(415)  LENGUA Y LITERATURAS MODERNAS (LETRAS ALEMANAS),FACULTAD DE FILOSOFIA Y LETRAS,15,19,16,51,15
2018,Febrero,4,(416)  LENGUA Y LITERATURAS MODERNAS (LETRAS FRANCESAS),FACULTAD DE FILOSOFIA Y LETRAS,25,33,29,44,25
2018,Febrero,4,(417)  LENGUA Y LITERATURAS MODERNAS (LETRAS INGLESAS),FACULTAD DE FILOSOFIA Y LETRAS,80,234,201,76,84
2018,Febrero,4,(418)  LENGUA Y LITERATURAS MODERNAS (LETRAS ITALIANAS),FACULTAD DE FILOSOFIA Y LETRAS,15,42,40,70,15
2018,Febrero,4,(419)  LETRAS CLASICAS,FACULTAD DE FILOSOFIA Y LETRAS,10,110,105,93,11
2018,Febrero,4,(420)  LITERATURA DRAMATICA Y TEATRO,FACULTAD DE FILOSOFIA Y LETRAS,16,381,351,100,17
2018,Febrero,4,(421)  PEDAGOGIA,FES ACATLAN,30,1141,1099,80,31
2018,Febrero,4,(421)  PEDAGOGIA,FACULTAD DE FILOSOFIA Y LETRAS,62,1016,960,80,65
2018,Febrero,4,(421)  PEDAGOGIA,FES ARAGON,62,1543,1493,77,65
2018,Febrero,4,(422)  PIANO,FACULTAD DE MUSICA,20,47,40,65,20
2018,Febrero,4,(429)  DESARROLLO Y GESTION INTERCULTURALES,FACULTAD DE FILOSOFIA Y LETRAS,10,127,112,97,11
2018,Febrero,4,(429)  DESARROLLO Y GESTION INTERCULTURALES,CENTRO PENINSULAR EN HUMANIDADES Y CIENCIAS SOCIALES,10,24,21,67,12
